年度,檢體名稱,抽樣廠商名稱,抽樣廠商地址,產地,重金屬檢測殘留量鎘含量_單位ppm,重金屬檢測殘留量汞含量_單位ppm,重金屬檢測殘留量鉛含量_單位ppm,檢驗結果
"99","特級精米","任輝米店","高雄縣杉林鄉清水路80號","台灣","0.07","0.009","0.07","合格"
"99","霸王米","池上米行","高雄縣岡山鎮成功路139號之1","台灣","0.03","0.003","0.06","合格"
"99","米","忠慶米行","高雄縣岡山鎮正言街69號","台灣","0.02","0.003","0.01","合格"
"99","米","新吉行","高雄縣岡山鎮維仁路343號","台灣","0.05","0.001","0.02","合格"
"99","米","三能碾米廠","高雄縣鳳山市鳳松路10號","台灣","0.01","0.002","未檢出","合格"
"99","米(台稉九號)","大順碾米廠","高雄縣鳳山市光復路一段78號","台灣","0.03","0.002","0.01","合格"
"99","關山米","大順碾米廠","高雄縣鳳山市光復路一段78號","台灣","0.07","0.002","0.01","合格"
"99","蓬萊米","啟豐碾米工廠","高雄縣岡山鎮平安禮開元街38號","台灣","0.02","0.013","0.03","合格"
"99","蓬萊米","瑞山碾米工廠","高雄縣岡山鎮公園東路1號","台灣","0.02","0.007","0.03","合格"
"99","蓬萊米","新惠農米工廠","高雄縣岡山鎮後協里(路)23號","台灣","0.02","0.009","0.02","合格"
"99","上田好米","永進號","高雄縣旗山鎮文中路97號","台灣","0.01","0.004","0.02","合格"
"99","米","和勝碾米工廠","高雄縣旗山鎮文中路115號","台灣","0.02","0.005","0.01","合格"
"99","米","國順米行","高雄縣仁武鄉中華路143號","台灣","0.02","0.012","0.05","合格"
"99","米","振合碾米工廠","高雄縣仁武鄉仁路225巷32號","台灣","0.04","0.007","0.03","合格"
"99","白米","新豐碾米工廠","屏東縣新園鄉仙吉村仙吉路225號","台灣","0.05","0.003","0.01","合格"
"99","白米","新豐碾米工廠","屏東縣新園鄉仙吉村仙吉路225號","台灣","0.02","0.001","0.01","合格"
"99","五福園有機米","沈福來","屏東縣萬丹鄉上村村260號","台灣","0.01","0.001","0.01","合格"
"99","池泉米","順元米店","屏東縣屏東市瀋陽街28號","台灣","0.02","0.001","0.01","合格"
"99","白米","順元米店","屏東縣屏東市瀋陽街28號","台灣","0.02","0.003","0.03","合格"
"99","白米","順元米店","屏東縣屏東市瀋陽街28號","台灣","0.03","0.004","0.01","合格"
"99","白米","新豐碾米工廠","屏東縣新園鄉仙吉村仙吉路225號","台灣","0.04","0.009","0.03","合格"
"99","白米","永盛碾米工廠","屏東縣屏東市大洲里33之1號","台灣","0.04","0.008","0.04","合格"
"99","白米","永盛碾米工廠","屏東縣屏東市大洲里33之1號","台灣","0.05","0.006","0.02","合格"
"99","白米","順元米店","屏東縣屏東市瀋陽街28號","台灣","0.03","0.007","0.03","合格"
"99","白米","順元米店","屏東縣屏東市瀋陽街28號","台灣","0.02","0.008","0.04","合格"
"100","大賀米","大園鄉良質米產銷班第一班","桃園縣大園鄉和平村14鄰張厝10-2號","台灣","0.08","0.002","0.03","合格"
"100","龍泉米","桃園縣龍潭鄉農會超市","桃園縣龍潭鄉龍星村東隆路112號","台灣","0.1","0.002","0.02","合格"
"100","雪山米","黃永興碾米工廠","桃園縣大溪鎮仁和路一段203號","台灣","0.02","0.003","0.02","合格"
"100","玉香花東米","天成碾米行","桃園縣新屋鄉中正路9號","台灣","0.12","0.004","0.05","合格"
"100","蓬萊米","金大益碾米工廠","桃園縣大溪鎮仁愛里儲蓄新村72號","台灣","0.03","0.003","0.02","合格"
"100","大賀米","大園鄉良質米產銷班第一班","桃園縣大園鄉和平村14鄰張厝10-2號","台灣","0.02","0.002","0.02","合格"
"100","龍泉米","桃園縣龍潭鄉農會超市","桃園縣龍潭鄉龍星村東隆路112號","台灣","0.16","0.002","0.01","合格"
"100","玉香花東米","天成碾米行","桃園縣新屋鄉中正路9號","台灣","0.09","0.004","0.02","合格"
"100","蓬萊米","金大益碾米工廠","桃園縣大溪鎮仁愛里儲蓄新村72號","台灣","0.16","0.003","0.02","合格"
"100","雪山米","黃永興碾米工廠","桃園縣大溪鎮仁和路一段203號","台灣","0.13","0.002","0.01","合格"
"100","白米　","銘鑫碾米廠股份有限公司","新竹縣竹北市中華路1143號","台灣","0.06","0.003","0.03","合格"
"100","梗米","清山米店","新竹縣新豐鄉康和路62號","台灣","0.04","0.002","0.02","合格"
"100","白米　","芎林鄉農會","新竹縣芎林鄉上山村文山路626號","台灣","0.1","0.004","0.03","合格"
"100","白米","新春碾米廠","新竹縣芎林鄉文華街220號","台灣","0.1","0.002","0.06","合格"
"100","白米","銘鑫碾米廠股份有限公司","新竹縣竹北市中華路1143號","台灣","0.13","0.002","0.01","合格"
"100","梗米","清山米店","新竹縣新豐鄉康和路62號","台灣","0.03","0.003","0.02","合格"
"100","白米　","芎林鄉農會","新竹縣芎林鄉上山村文山路626號","台灣","0.1","0.002","0.01","合格"
"100","白米","新春碾米廠","新竹縣芎林鄉文華街220號","台灣","0.08","0.003","0.01","合格"
"100","梗米","發興碾米行","宜蘭縣宜蘭市中山路三段242號","台灣","0.15","未檢出","0.02","合格"
"100","蓬萊白米","佳豐碾米廠","宜蘭縣壯圍鄉大福路三段2號","台灣","0.18","未檢出","0.01","合格"
"100","食米","隱豐碾米廠","宜蘭縣三星鄉三星路一段203號","台灣","0.16","未檢出","0.03","合格"
"100","蓬萊米","盛芳米店","宜蘭縣五結鄉五結路三段626號","台灣","0.23","未檢出","0.03","合格"
"100","秈米","新益豐碾米工廠","宜蘭縣壯圍鄉永美路二段17巷2號","台灣","0.26","0.003","0.01","合格"
"100","蓬萊米","農泉碾米工廠","宜蘭縣壯圍鄉永美路三段96號","台灣","0.21","0.002","0.02","合格"
"100","食米","德豐碾米廠","宜蘭縣三星鄉三星路四段436號","台灣","0.03","0.002","0.02","合格"
"100","圓米","宜蘭縣冬山鄉農會","宜蘭縣冬山鄉永興路二段691號","台灣","0.26","0.003","0.02","合格"
"100","嚴選米","宜蘭縣冬山鄉農會","宜蘭縣冬山鄉永興路二段691號","台灣","0.27","0.003","0.02","合格"
"100","養生白米","宜蘭縣員山鄉農會深溝碾米加工廠","宜蘭縣員山鄉惠民路221巷8號","台灣","0.19","0.004","0.02","合格"
"100","白米","永興商行","花蓮縣光復鄉中山路二段196號","台灣","0.03","0.002","0.02","合格"
"100","吉安米","吉安農會供銷部冰品城","花蓮縣吉安鄉吉安路二段90號","台灣","0.02","0.002","0.02","合格"
"100","米","信安糧食行","花蓮縣富里鄉學田村民權路10號","台灣","0.01","0.002","0.02","合格"
"100","白米","全發碾米工廠","花蓮縣吉安鄉吉興路三段533號","台灣","0.02","0.002","0.02","合格"
"100","白米","銀川碾米專用廠","花蓮縣富里公埔75號","台灣","0.01","0.003","0.02","合格"
"100","白米","全豐碾米工廠","花蓮縣玉里鎮中山路一段149號","台灣","0.01","0.002","0.05","合格"
"100","白米","年昌碾米廠","花蓮縣玉里鎮中華路28號","台灣","0.03","0.003","0.02","合格"
"100","白米","玉成碾米廠","花蓮縣玉里鎮中山路一段193號","台灣","0.03","0.003","0.01","合格"
"100","白米","信安糧食行","花蓮縣富里鄉學田村民權路10號","台灣","0.02","未檢出","0.02","合格"
"100","白米","永興商行","花蓮縣光復鄉中山路二段196號","台灣","0.01","0.003","0.02","合格"
"100","吉安米","吉安農會供銷部冰品城","花蓮縣吉安鄉吉安路二段90號","台灣","0.02","0.001","0.02","合格"
"100","白米","銀川碾米專用廠","花蓮縣富里公埔75號","台灣","0.01","0.003","0.01","合格"
"100","白米","全豐碾米工廠","花蓮縣玉里鎮中山路一段149號","台灣","0.03","0.002","0.01","合格"
"100","關山米","全發碾米工廠","花蓮縣吉安鄉吉興路三段533號","台灣","0.04","0.003","0.01","合格"
"100","白米","年昌碾米廠","花蓮縣玉里鎮中華路28號","台灣","0.03","0.003","0.02","合格"
"100","白米","玉成碾米廠","花蓮縣玉里鎮中山路一段193號","台灣","0.04","0.003","0.01","合格"
"100","糯米","錦和米行","臺東縣池上鄉中山路245號","台灣","未檢出","0.001","0.01","合格"
"100","米","關山鎮農會","臺東縣關山鎮德高里東庄路30-1.2.3號","台灣","未檢出","0.001","0.01","合格"
"100","米","梓園碾米工廠","臺東縣關山鎮德高里永豐69之1號","台灣","0.04","0.001","未檢出","合格"
"100","米","新農碾米工廠","臺東縣長濱鄉長濱村115號","台灣","0.01","0.001","未檢出","合格"
"100","米","協成製材碾米工廠","臺東縣鹿野鄉永安村10鄰中華路三段281巷9號","台灣","0.024","0.002","未檢出","合格"
"100","糯米","錦和米行","臺東縣池上鄉中山路245號","台灣","未檢出","0.002","0.01","合格"
"100","米","關山鎮農會","臺東縣關山鎮德高里東庄路30-1.2.3號","台灣","未檢出","0.002","0.01","合格"
"100","米","梓園碾米工廠","臺東縣關山鎮德高里永豐69之1號","台灣","未檢出","0.001","0.01","合格"
"100","米","新農碾米工廠","臺東縣長濱鄉長濱村115號","台灣","0.006","0.001","0.02","合格"
"100","米","協成製材碾米工廠","臺東縣鹿野鄉永安村10鄰中華路三段281巷9號","台灣","0.02","0.001","0.04","合格"
"100","白米","裕盛碾米廠","苗栗縣後龍鎮埔頂里中心路120-31號","台灣","0.09","0.004","0.02","合格"
"100","白米","泉順碾米工廠","苗栗縣後龍鎮埔頂里17鄰中華路1016號","台灣","0.06","0.004","0.02","合格"
"100","白米","苗栗市農會供銷部","苗栗縣苗栗市玉清里11鄰復興路四段197號","台灣","0.07","0.003","0.03","合格"
"100","白米","新峯碾米工廠","苗栗縣苗栗市嘉盛里育英街23號","台灣","0.02","0.003","0.01","合格"
"100","白米","裕盛碾米廠","苗栗縣後龍鎮埔頂里中心路120-31號","台灣","0.02","0.012","0.01","合格"
"100","白米","泉順碾米工廠","苗栗縣後龍鎮埔頂里17鄰中華路1016號","台灣","0.04","0.003","0.02","合格"
"100","白米","苗栗市農會供銷部","苗栗縣苗栗市玉清里11鄰復興路四段197號","台灣","0.02","0.003","0.03","合格"
